id,target,classificação
2142,0,Planeta Deserto
3846,0,Planeta Deserto
6177,0,Planeta Deserto
11779,0,Planeta Deserto
1593,0,Planeta Deserto
14748,0,Planeta Deserto
11962,1,Planeta Vulcânico
3464,0,Planeta Deserto
12335,0,Planeta Deserto
8760,0,Planeta Deserto
7516,0,Planeta Deserto
901,1,Planeta Vulcânico
6254,3,Planeta Florestal
2588,2,Planeta Oceânico
1471,1,Planeta Vulcânico
3368,1,Planeta Vulcânico
12929,0,Planeta Deserto
913,0,Planeta Deserto
4245,0,Planeta Deserto
12917,1,Planeta Vulcânico
14499,1,Planeta Vulcânico
6833,0,Planeta Deserto
5366,4,Planeta Gelado
7432,0,Planeta Deserto
8247,0,Planeta Deserto
11905,2,Planeta Oceânico
11551,2,Planeta Oceânico
6156,1,Planeta Vulcânico
1109,2,Planeta Oceânico
9402,1,Planeta Vulcânico
10371,0,Planeta Deserto
13591,4,Planeta Gelado
14529,1,Planeta Vulcânico
355,0,Planeta Deserto
12893,0,Planeta Deserto
8715,4,Planeta Gelado
1520,0,Planeta Deserto
9585,4,Planeta Gelado
10131,4,Planeta Gelado
3399,2,Planeta Oceânico
9207,0,Planeta Deserto
6531,0,Planeta Deserto
2897,1,Planeta Vulcânico
11846,4,Planeta Gelado
12614,0,Planeta Deserto
2155,0,Planeta Deserto
169,0,Planeta Deserto
992,0,Planeta Deserto
4027,0,Planeta Deserto
10783,2,Planeta Oceânico
670,0,Planeta Deserto
14809,0,Planeta Deserto
4748,1,Planeta Vulcânico
10629,0,Planeta Deserto
11913,1,Planeta Vulcânico
12869,4,Planeta Gelado
8473,0,Planeta Deserto
10590,0,Planeta Deserto
3185,0,Planeta Deserto
4653,0,Planeta Deserto
9026,1,Planeta Vulcânico
12369,0,Planeta Deserto
13440,3,Planeta Florestal
5341,2,Planeta Oceânico
4768,4,Planeta Gelado
5348,0,Planeta Deserto
13400,1,Planeta Vulcânico
8962,0,Planeta Deserto
68,0,Planeta Deserto
8110,0,Planeta Deserto
14990,0,Planeta Deserto
5764,0,Planeta Deserto
216,2,Planeta Oceânico
12418,0,Planeta Deserto
650,4,Planeta Gelado
4452,0,Planeta Deserto
6605,4,Planeta Gelado
13060,0,Planeta Deserto
14260,0,Planeta Deserto
9035,0,Planeta Deserto
11182,4,Planeta Gelado
3819,0,Planeta Deserto
10739,0,Planeta Deserto
6032,0,Planeta Deserto
5645,0,Planeta Deserto
14707,1,Planeta Vulcânico
3196,0,Planeta Deserto
13507,4,Planeta Gelado
12679,3,Planeta Florestal
3098,0,Planeta Deserto
724,4,Planeta Gelado
9872,0,Planeta Deserto
7131,0,Planeta Deserto
7062,0,Planeta Deserto
667,0,Planeta Deserto
6016,0,Planeta Deserto
2953,2,Planeta Oceânico
5521,0,Planeta Deserto
13518,0,Planeta Deserto
3014,0,Planeta Deserto
4949,4,Planeta Gelado
573,0,Planeta Deserto
9229,0,Planeta Deserto
2197,0,Planeta Deserto
5898,0,Planeta Deserto
8616,3,Planeta Florestal
13387,2,Planeta Oceânico
11591,0,Planeta Deserto
12134,4,Planeta Gelado
1864,1,Planeta Vulcânico
2989,4,Planeta Gelado
5894,0,Planeta Deserto
10205,4,Planeta Gelado
13194,4,Planeta Gelado
4095,3,Planeta Florestal
13195,0,Planeta Deserto
210,0,Planeta Deserto
317,3,Planeta Florestal
10290,4,Planeta Gelado
13670,4,Planeta Gelado
5168,0,Planeta Deserto
11039,0,Planeta Deserto
11786,0,Planeta Deserto
1912,0,Planeta Deserto
12932,0,Planeta Deserto
6135,2,Planeta Oceânico
12752,0,Planeta Deserto
10200,1,Planeta Vulcânico
11750,0,Planeta Deserto
11020,0,Planeta Deserto
6130,0,Planeta Deserto
1521,2,Planeta Oceânico
4435,0,Planeta Deserto
7522,0,Planeta Deserto
138,2,Planeta Oceânico
6494,0,Planeta Deserto
5067,0,Planeta Deserto
11567,4,Planeta Gelado
3164,2,Planeta Oceânico
5509,4,Planeta Gelado
9992,2,Planeta Oceânico
2940,1,Planeta Vulcânico
11612,2,Planeta Oceânico
8798,0,Planeta Deserto
7055,0,Planeta Deserto
2627,1,Planeta Vulcânico
9572,0,Planeta Deserto
11471,0,Planeta Deserto
12360,0,Planeta Deserto
4953,0,Planeta Deserto
2737,0,Planeta Deserto
12813,1,Planeta Vulcânico
6344,1,Planeta Vulcânico
6301,4,Planeta Gelado
4997,0,Planeta Deserto
11933,4,Planeta Gelado
5183,4,Planeta Gelado
5635,1,Planeta Vulcânico
4211,0,Planeta Deserto
14837,0,Planeta Deserto
5601,0,Planeta Deserto
9283,0,Planeta Deserto
13083,2,Planeta Oceânico
13105,0,Planeta Deserto
13969,0,Planeta Deserto
3362,4,Planeta Gelado
13265,0,Planeta Deserto
11206,0,Planeta Deserto
12636,0,Planeta Deserto
11157,0,Planeta Deserto
10855,0,Planeta Deserto
3147,1,Planeta Vulcânico
8262,4,Planeta Gelado
14218,4,Planeta Gelado
13120,3,Planeta Florestal
10666,0,Planeta Deserto
14045,0,Planeta Deserto
4846,0,Planeta Deserto
4454,0,Planeta Deserto
1291,0,Planeta Deserto
9206,1,Planeta Vulcânico
12290,0,Planeta Deserto
7618,0,Planeta Deserto
8016,4,Planeta Gelado
9261,0,Planeta Deserto
10844,4,Planeta Gelado
3499,0,Planeta Deserto
2191,1,Planeta Vulcânico
10621,0,Planeta Deserto
5358,0,Planeta Deserto
3036,0,Planeta Deserto
11620,0,Planeta Deserto
13890,0,Planeta Deserto
11178,0,Planeta Deserto
11441,4,Planeta Gelado
6093,1,Planeta Vulcânico
2982,3,Planeta Florestal
10203,0,Planeta Deserto
8943,0,Planeta Deserto
9747,2,Planeta Oceânico
2016,2,Planeta Oceânico
8506,0,Planeta Deserto
4989,2,Planeta Oceânico
1535,0,Planeta Deserto
10699,4,Planeta Gelado
6743,0,Planeta Deserto
5173,0,Planeta Deserto
4898,0,Planeta Deserto
6572,2,Planeta Oceânico
12140,4,Planeta Gelado
7861,0,Planeta Deserto
14592,0,Planeta Deserto
1187,0,Planeta Deserto
12411,0,Planeta Deserto
14502,0,Planeta Deserto
7074,0,Planeta Deserto
13646,1,Planeta Vulcânico
4135,4,Planeta Gelado
6351,3,Planeta Florestal
7399,0,Planeta Deserto
4699,1,Planeta Vulcânico
1759,3,Planeta Florestal
12839,2,Planeta Oceânico
6891,1,Planeta Vulcânico
8651,2,Planeta Oceânico
100,0,Planeta Deserto
3506,0,Planeta Deserto
10193,0,Planeta Deserto
8475,0,Planeta Deserto
12315,0,Planeta Deserto
7990,0,Planeta Deserto
2066,0,Planeta Deserto
14936,0,Planeta Deserto
5691,0,Planeta Deserto
3169,0,Planeta Deserto
14935,0,Planeta Deserto
11849,0,Planeta Deserto
3775,0,Planeta Deserto
4403,1,Planeta Vulcânico
10069,4,Planeta Gelado
10837,3,Planeta Florestal
7993,0,Planeta Deserto
3518,2,Planeta Oceânico
12782,4,Planeta Gelado
12031,0,Planeta Deserto
13168,3,Planeta Florestal
174,0,Planeta Deserto
663,2,Planeta Oceânico
8242,2,Planeta Oceânico
11395,0,Planeta Deserto
3030,0,Planeta Deserto
532,2,Planeta Oceânico
6982,4,Planeta Gelado
1079,0,Planeta Deserto
1304,0,Planeta Deserto
8686,0,Planeta Deserto
13627,0,Planeta Deserto
5869,0,Planeta Deserto
11984,2,Planeta Oceânico
5380,1,Planeta Vulcânico
487,3,Planeta Florestal
7352,0,Planeta Deserto
2075,4,Planeta Gelado
164,1,Planeta Vulcânico
14517,0,Planeta Deserto
12120,0,Planeta Deserto
1907,0,Planeta Deserto
3833,0,Planeta Deserto
5226,0,Planeta Deserto
13999,0,Planeta Deserto
429,2,Planeta Oceânico
2521,2,Planeta Oceânico
3908,1,Planeta Vulcânico
10447,0,Planeta Deserto
7645,0,Planeta Deserto
669,0,Planeta Deserto
1571,0,Planeta Deserto
12645,1,Planeta Vulcânico
14715,0,Planeta Deserto
9896,2,Planeta Oceânico
5526,0,Planeta Deserto
83,0,Planeta Deserto
4550,3,Planeta Florestal
4061,0,Planeta Deserto
15,3,Planeta Florestal
14236,0,Planeta Deserto
11399,1,Planeta Vulcânico
8693,3,Planeta Florestal
6901,2,Planeta Oceânico
7904,1,Planeta Vulcânico
10843,4,Planeta Gelado
14053,0,Planeta Deserto
2921,1,Planeta Vulcânico
3865,0,Planeta Deserto
3496,1,Planeta Vulcânico
3612,0,Planeta Deserto
14941,4,Planeta Gelado
7346,2,Planeta Oceânico
13844,4,Planeta Gelado
14779,0,Planeta Deserto
7438,0,Planeta Deserto
10457,0,Planeta Deserto
4359,2,Planeta Oceânico
3366,4,Planeta Gelado
11646,2,Planeta Oceânico
7824,0,Planeta Deserto
3614,0,Planeta Deserto
8182,0,Planeta Deserto
7214,0,Planeta Deserto
4810,0,Planeta Deserto
8940,2,Planeta Oceânico
12699,0,Planeta Deserto
11810,0,Planeta Deserto
9508,0,Planeta Deserto
1942,0,Planeta Deserto
9546,4,Planeta Gelado
6136,4,Planeta Gelado
14184,2,Planeta Oceânico
13230,3,Planeta Florestal
613,0,Planeta Deserto
9315,0,Planeta Deserto
3508,1,Planeta Vulcânico
1241,0,Planeta Deserto
14851,0,Planeta Deserto
5789,2,Planeta Oceânico
8606,2,Planeta Oceânico
11121,1,Planeta Vulcânico
11952,0,Planeta Deserto
7325,0,Planeta Deserto
14532,0,Planeta Deserto
463,1,Planeta Vulcânico
7573,2,Planeta Oceânico
1541,2,Planeta Oceânico
6914,1,Planeta Vulcânico
4686,0,Planeta Deserto
12577,0,Planeta Deserto
6087,0,Planeta Deserto
3490,0,Planeta Deserto
4482,1,Planeta Vulcânico
1181,0,Planeta Deserto
3915,4,Planeta Gelado
2797,0,Planeta Deserto
3361,4,Planeta Gelado
14375,0,Planeta Deserto
14952,0,Planeta Deserto
7313,1,Planeta Vulcânico
241,0,Planeta Deserto
11428,4,Planeta Gelado
7265,0,Planeta Deserto
12847,2,Planeta Oceânico
6392,0,Planeta Deserto
1984,0,Planeta Deserto
9071,0,Planeta Deserto
2122,0,Planeta Deserto
10234,0,Planeta Deserto
7357,0,Planeta Deserto
11830,0,Planeta Deserto
14868,1,Planeta Vulcânico
10751,0,Planeta Deserto
14390,0,Planeta Deserto
3507,0,Planeta Deserto
3921,4,Planeta Gelado
458,1,Planeta Vulcânico
9231,2,Planeta Oceânico
5002,4,Planeta Gelado
3876,2,Planeta Oceânico
9370,1,Planeta Vulcânico
14956,4,Planeta Gelado
11401,1,Planeta Vulcânico
14444,0,Planeta Deserto
9697,0,Planeta Deserto
3260,0,Planeta Deserto
2235,2,Planeta Oceânico
7411,1,Planeta Vulcânico
8045,0,Planeta Deserto
5949,4,Planeta Gelado
13769,1,Planeta Vulcânico
1200,0,Planeta Deserto
3815,4,Planeta Gelado
14326,4,Planeta Gelado
11907,0,Planeta Deserto
6522,4,Planeta Gelado
9940,0,Planeta Deserto
1607,0,Planeta Deserto
2992,0,Planeta Deserto
14576,1,Planeta Vulcânico
13158,1,Planeta Vulcânico
9353,0,Planeta Deserto
11339,4,Planeta Gelado
9706,0,Planeta Deserto
6440,0,Planeta Deserto
2885,0,Planeta Deserto
1232,3,Planeta Florestal
1793,0,Planeta Deserto
14312,0,Planeta Deserto
5860,0,Planeta Deserto
5479,4,Planeta Gelado
11076,0,Planeta Deserto
2755,3,Planeta Florestal
6346,4,Planeta Gelado
3666,2,Planeta Oceânico
5678,0,Planeta Deserto
1006,0,Planeta Deserto
8320,0,Planeta Deserto
11276,0,Planeta Deserto
1989,0,Planeta Deserto
11023,1,Planeta Vulcânico
8720,4,Planeta Gelado
9529,0,Planeta Deserto
4481,0,Planeta Deserto
544,0,Planeta Deserto
58,0,Planeta Deserto
10344,0,Planeta Deserto
556,0,Planeta Deserto
11468,0,Planeta Deserto
14058,0,Planeta Deserto
6754,0,Planeta Deserto
12831,0,Planeta Deserto
11781,0,Planeta Deserto
14693,2,Planeta Oceânico
5351,0,Planeta Deserto
2929,0,Planeta Deserto
14050,4,Planeta Gelado
6447,0,Planeta Deserto
10327,4,Planeta Gelado
8286,0,Planeta Deserto
8533,0,Planeta Deserto
10497,0,Planeta Deserto
8566,3,Planeta Florestal
508,0,Planeta Deserto
6487,0,Planeta Deserto
14175,0,Planeta Deserto
13321,0,Planeta Deserto
4261,0,Planeta Deserto
836,0,Planeta Deserto
11079,0,Planeta Deserto
10548,0,Planeta Deserto
7581,0,Planeta Deserto
8013,0,Planeta Deserto
1666,0,Planeta Deserto
